plot,depth.cm,sample.id,ugC.g.day,
306,30,306CCNRD30,108.5632127,
306,60,306CCNRD60,52.609817,
306,60,306CCNRD60,62.3856288,
306,60,306CCNRD60,70.35218167,
306,90,306CCNRD90,44.80927897,
306,90,306CCNRD90,45.40165548,
306,90,306CCNRD90,46.16406765,
307,15,307CCNRD15,147.3331016,
307,15,307CCNRD15,180.2398657,
307,30,307CCNRD30,122.5907028,22.91931652
307,30,307CCNRD30,99.67138628,
307,60,307CCNRD60,67.67672214,
307,60,307CCNRD60,62.60251919,
307,60,307CCNRD60,61.48613397,
307,90,307CCNRD90,55.20590826,
307,90,307CCNRD90,46.29335852,
307,90,307CCNRD90,55.8804082,
308,15,308CCNRD15,171.9337306,
308,15,308CCNRD15,169.6816113,
308,15,308CCNRD15,149.4831179,
308,30,308CCNRD30,124.1102966,
308,30,308CCNRD30,109.6005461,
308,30,308CCNRD30,91.03204486,
308,60,308CCNRD60,73.59140002,
308,60,308CCNRD60,57.00842223,
308,60,308CCNRD60,70.9429591,
308,90,308CCNRD90,49.29911751,
308,90,308CCNRD90,45.60667469,
308,90,308CCNRD90,50.0327747,
309,15,309CCNRD15,251.4702937,
309,15,309CCNRD15,180.8727071,
309,15,309CCNRD15,217.4361146,
309,30,309CCNRD30,158.2269767,
309,30,309CCNRD30,145.98359,
309,60,309CCNRD60,46.09200481,
309,60,309CCNRD60,52.95689446,
309,90,309CCNRD90,44.84953909,
309,90,309CCNRD90,53.34981473,
309,90,309CCNRD90,63.67436856,
310,15,310CCNRD15,200.7998515,
310,15,310CCNRD15,178.4886537,
310,15,310CCNRD15,198.1164584,
310,30,310CCNRD30,112.6636829,
310,30,310CCNRD30,113.1627535,
310,30,310CCNRD30,116.4394603,
310,60,310CCNRD60,38.7189582,
310,60,310CCNRD60,48.72019653,
310,60,310CCNRD60,55.72770727,
310,90,310CCNRD90,50.80074644,
310,90,310CCNRD90,46.03458588,
310,90,310CCNRD90,41.77886235,
311,15,311CCNRD15,195.899836,
311,15,311CCNRD15,198.2153399,
311,30,311CCNRD30,98.78846962,
311,30,311CCNRD30,78.83009383,
311,30,311CCNRD30,91.74019475,
311,60,311CCNRD60,62.7334176,
311,60,311CCNRD60,66.45616263,
311,60,311CCNRD60,66.10917332,
311,90,311CCNRD90,54.41834655,
311,90,311CCNRD90,74.03107707,
311,90,311CCNRD90,77.98822518,
312,15,312CCNRD15,144.41285,
312,15,312CCNRD15,153.369844,
312,30,312CCNRD30,108.853016,
312,30,312CCNRD30,89.06495727,
312,60,312CCNRD60,65.45960846,
312,60,312CCNRD60,71.78589674,
312,90,312CCNRD90,47.10751876,
312,90,312CCNRD90,47.54884944,
312,90,312CCNRD90,43.34424117,
401,15,401CCNRD15,200.1965883,
401,15,401CCNRD15,238.1613213,
401,30,401CCNRD30,82.16932544,
401,30,401CCNRD30,81.98684353,
401,30,401CCNRD30,83.24170943,
401,60,401CCNRD60,63.79383633,
401,60,401CCNRD60,44.45755144,
401,60,401CCNRD60,59.61700185,
401,90,401CCNRD90,45.52272335,
401,90,401CCNRD90,53.18791844,
402,15,402CCNRD15,196.8947705,
402,15,402CCNRD15,170.6585583,
402,15,402CCNRD15,210.3891506,
402,30,402CCNRD30,113.5504575,
402,30,402CCNRD30,140.0369694,
402,30,402CCNRD30,146.235455,
402,60,402CCNRD60,87.92658266,
402,60,402CCNRD60,74.56514123,
402,60,402CCNRD60,70.20584888,
402,90,402CCNRD90,81.46766627,
402,90,402CCNRD90,70.1320393,
402,90,402CCNRD90,81.15510829,
403,15,403CCNRD15,184.3038901,
403,15,403CCNRD15,167.7392083,
403,15,403CCNRD15,196.0330359,
403,30,403CCNRD30,99.42022581,
403,30,403CCNRD30,88.64430578,
403,30,403CCNRD30,85.15337362,
403,60,403CCNRD60,67.86143906,
403,60,403CCNRD60,48.64472583,
403,90,403CCNRD90,43.72553311,
403,90,403CCNRD90,54.74120932,
403,90,403CCNRD90,60.51654828,
404,15,404CCNRD15,224.8689264,
404,15,404CCNRD15,213.0868462,
404,15,404CCNRD15,187.3071109,
404,30,404CCNRD30,143.2212488,
404,30,404CCNRD30,104.6130804,
404,30,404CCNRD30,124.7595493,
404,60,404CCNRD60,48.11452029,
404,60,404CCNRD60,47.39739109,
404,60,404CCNRD60,45.13433903,
404,90,404CCNRD90,53.86821567,
404,90,404CCNRD90,47.23026728,
404,90,404CCNRD90,65.83718573,
405,15,405CCNRD15,165.441986,
405,15,405CCNRD15,161.9275649,
405,15,405CCNRD15,137.3648197,
405,30,405CCNRD30,110.0907311,
405,30,405CCNRD30,108.1925136,
405,60,405CCNRD60,55.77890143,
405,60,405CCNRD60,48.01472823,
405,60,405CCNRD60,49.69557642,
405,90,405CCNRD90,50.89430882,
405,90,405CCNRD90,64.34850617,
405,90,405CCNRD90,63.35108538,
406,15,406CCNRD15,309.6038329,
406,15,406CCNRD15,278.0297992,
406,30,406CCNRD30,130.1876641,
406,30,406CCNRD30,121.4947852,
406,60,406CCNRD60,60.45564557,
406,60,406CCNRD60,52.82057309,
406,60,406CCNRD60,69.86913078,
406,90,406CCNRD90,80.38826515,
406,90,406CCNRD90,71.52484975,
406,90,406CCNRD90,69.75221883,
407,15,407CCNRD15,149.5338156,
407,15,407CCNRD15,198.9790088,
407,15,407CCNRD15,160.0631629,
407,30,407CCNRD30,125.7637453,
407,30,407CCNRD30,118.4847735,
407,30,407CCNRD30,111.5051568,
407,60,407CCNRD60,79.96786383,
407,60,407CCNRD60,62.26522271,
407,60,407CCNRD60,78.21759902,
407,90,407CCNRD90,79.39086417,
407,90,407CCNRD90,85.07670886,
407,90,407CCNRD90,86.96956947,
408,15,408CCNRD15,231.519222,
408,15,408CCNRD15,227.7564816,
408,15,408CCNRD15,234.4379625,
408,30,408CCNRD30,81.89011999,
408,30,408CCNRD30,82.77213432,
408,60,408CCNRD60,40.7802701,
408,60,408CCNRD60,49.23776,
408,60,408CCNRD60,46.36221296,
408,90,408CCNRD90,58.82726477,
408,90,408CCNRD90,47.56996739,
408,90,408CCNRD90,61.00772626,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
blank,blank,blank,NA,
