pause,study,plot,depth.cm,soilmass,cup_label,sample.id,mL_water,start,end,ppm.approx,readtime,readdate,temp1_C,temp2_C,NOTES,
16,CCNRD,106,15,10.009,091A,106CCNRD15,2.43,11:14,11:16,2424,11:15,10312025,26,27,,
17,CCNRD,106,15,9.9866,091B,106CCNRD15,2.43,11:16,11:18,3078,11:17,10312025,26,27,,
18,CCNRD,106,15,10.0114,091C,106CCNRD15,2.43,11:18,11:20,3284,11:19,10312025,26,27,,
19,CCNRD,107,15,9.9869,092A,107CCNRD15,2.43,11:20,11:22,2287,11:21,10312025,26,27,,
20,CCNRD,107,15,9.9993,092B,107CCNRD15,2.43,11:22,11:24,2390,11:23,10312025,26,27,,
21,CCNRD,107,15,9.9939,092C,107CCNRD15,2.43,11:24,11:26,2321,11:25,10312025,26,27,,
22,CCNRD,108,15,9.9881,093A,108CCNRD15,2.43,11:26,11:28,2149,11:27,10312025,26,27,,
23,CCNRD,108,15,9.9952,093B,108CCNRD15,2.43,11:28,11:30,2184,11:29,10312025,26,27,,
24,CCNRD,108,15,9.9928,093C,108CCNRD15,2.43,11:30,11:32,2390,11:31,10312025,26,27,,
25,CCNRD,109,15,9.9906,094A,109CCNRD15,2.43,11:32,11:34,2356,11:33,10312025,26,27,bad lid,
26,CCNRD,109,15,10.0136,094B,109CCNRD15,2.43,11:34,11:36,3284,11:35,10312025,26,27,,
27,CCNRD,109,15,9.996,094C,109CCNRD15,2.43,11:36,11:38,3318,11:37,10312025,26,27,,
28,blank,blank,blank,,blank,blank,blank,11:38,11:40,740,11:39,10312025,26,27,,
29,blank,blank,blank,,blank,blank,blank,11:40,11:42,774,11:41,10312025,26,27,,
30,blank,blank,blank,,blank,blank,blank,11:42,11:44,740,11:43,10312025,26,27,,
31,CCNRD,110,15,9.9861,095A,110CCNRD15,2.43,11:44,11:46,1874,11:45,10312025,26,27,bad lid?,
32,CCNRD,110,15,9.9978,095B,110CCNRD15,2.43,11:46,11:48,2940,11:47,10312025,26,27,,
33,CCNRD,110,15,10.0274,095C,110CCNRD15,2.43,11:48,11:50,3009,11:49,10312025,26,27,,
34,CCNRD,111,15,9.9813,096A,111CCNRD15,2.43,11:50,11:52,2734,11:51,10312025,26,27,bad lid,
35,CCNRD,111,15,10.0069,096B,111CCNRD15,2.43,11:52,11:54,3112,11:53,10312025,26,27,,
36,CCNRD,111,15,10.0052,096C,111CCNRD15,2.43,11:54,11:56,1977,11:55,10312025,26,27,"likely tossing out sample, no observed issues",
37,CCNRD,112,15,10.0104,097A,112CCNRD15,2.43,11:56,11:58,2459,11:57,10312025,26,27,,
38,CCNRD,112,15,10.0024,097B,112CCNRD15,2.43,11:58,12:00,2562,11:59,10312025,26,27,,
39,CCNRD,112,15,10.0149,097C,112CCNRD15,2.43,12:00,12:02,2184,12:01,10312025,26,27,,
40,CCNRD,201,15,9.9973,098A,201CCNRD15,2.43,12:02,12:04,3421,12:03,10312025,26,27,,
41,CCNRD,201,15,9.9993,098B,201CCNRD15,2.43,12:04,12:06,2459,12:05,10312025,26,27,,
42,CCNRD,201,15,10.0019,098C,201CCNRD15,2.43,12:06,12:08,3555,12:07,10312025,26,27,,
43,CCNRD,202,15,10.0335,099A,202CCNRD15,2.43,12:08,12:10,1943,12:09,10312025,26,27,,
44,CCNRD,202,15,10.0057,099B,202CCNRD15,2.43,12:10,12:12,2549,12:11,10312025,26,27,,
45,CCNRD,202,15,10.0445,099C,202CCNRD15,2.43,12:12,12:14,2493,12:13,10312025,26,27,,
46,CCNRD,203,15,10.0399,100A,203CCNRD15,2.43,12:14,12:16,2768,12:15,10312025,26,27,,
47,CCNRD,203,15,9.9698,100B,203CCNRD15,2.43,12:16,12:18,2665,12:17,10312025,26,27,,
48,CCNRD,203,15,9.992,100C,203CCNRD15,2.43,12:18,12:20,2631,12:19,10312025,26,27,,
49,CCNRD,204,15,10.0159,101a,204CCNRD15,2.43,12:20,12:22,3225,12:21,10312025,26,27,,
50,CCNRD,204,15,10.0012,101b,204CCNRD15,2.43,12:22,12:24,3225,12:23,10312025,26,27,,
51,CCNRD,204,15,10.0412,101c,204CCNRD15,2.43,12:24,12:26,3292,12:25,10312025,26,27,,
52,CCNRD,205,15,9.9969,102a,205CCNRD15,2.43,12:26,12:28,2947,12:27,10312025,26,27,,
53,CCNRD,205,15,9.9883,102b,205CCNRD15,2.43,12:28,12:30,3088,12:29,10312025,26,27,,
54,CCNRD,205,15,10.0002,102c,205CCNRD15,2.43,12:30,12:32,2849,12:31,10312025,26,27,,
55,CCNRD,206,15,9.9872,103a,206CCNRD15,2.43,12:32,12:34,3072,12:33,10312025,26,27,,
56,CCNRD,206,15,10.028,103b,206CCNRD15,2.43,12:34,12:36,2641,12:35,10312025,26,27,,
57,CCNRD,206,15,10.0234,103c,206CCNRD15,2.43,12:36,12:38,2914,12:37,10312025,26,27,,
58,CCNRD,207,15,9.9913,104a,207CCNRD15,2.43,12:38,12:40,2616,12:39,10312025,26,27,,
59,CCNRD,207,15,9.9954,104b,207CCNRD15,2.43,12:40,12:42,2691,12:41,10312025,26,27,,
60,CCNRD,207,15,9.9939,104c,207CCNRD15,2.43,12:42,12:44,2218,12:43,10312025,26,27,bad lid,
61,blank,blank,blank,,blank,blank,blank,12:44,12:46,775,12:45,10312025,26,27,,
62,blank,blank,blank,,blank,blank,blank,12:46,12:48,825,12:47,10312025,26,27,didn't hit pause at the right time or over paused,
63,blank,blank,blank,,blank,blank,blank,12:48,12:50,551,12:49,10312025,26,27,,
64,CCNRD,208,15,10.0267,105a,208CCNRD15,2.43,12:50,12:52,3258,12:51,10312025,26,27,,
65,CCNRD,208,15,10.0182,105b,208CCNRD15,2.43,12:52,12:54,3050,12:53,10312025,26,27,,
66,CCNRD,208,15,9.995,105c,208CCNRD15,2.43,12:54,12:56,3536,12:55,10312025,26,27,,
67,CCNRD,209,15,10.029,106a,209CCNRD15,2.43,12:56,12:58,3396,12:57,10312025,26,27,,
68,CCNRD,209,15,9.9978,106b,209CCNRD15,2.43,12:58,13:00,3193,12:59,10312025,26,27,,
69,CCNRD,209,15,9.9863,106c,209CCNRD15,2.43,13:00,13:02,2684,13:01,10312025,26,27,,
70,CCNRD,210,15,10.0109,107a,210CCNRD15,2.43,13:02,13:04,3193,13:03,10312025,26,27,,
71,CCNRD,210,15,10.0062,107b,210CCNRD15,2.43,13:04,13:06,3362,13:05,10312025,26,27,,
72,CCNRD,210,15,10.0087,107c,210CCNRD15,2.43,13:06,13:08,2786,13:07,10312025,26,27,,
73,CCNRD,211,15,10.0086,108a,211CCNRD15,2.43,13:08,13:10,2955,13:09,10312025,26,27,,
74,CCNRD,211,15,10.0103,108b,211CCNRD15,2.43,13:10,13:12,2887,13:11,10312025,26,27,,
75,CCNRD,211,15,10.0326,108c,211CCNRD15,2.43,13:12,13:14,2921,13:13,10312025,26,27,,
76,CCNRD,212,15,10.0055,109a,212CCNRD15,2.43,13:14,13:16,2345,13:15,10312025,26,27,,
77,CCNRD,212,15,10.0008,109b,212CCNRD15,2.43,13:16,13:18,2650,13:17,10312025,26,27,,
78,CCNRD,212,15,10.0326,109c,212CCNRD15,2.43,13:18,13:20,2548,13:19,10312025,26,27,,
79,CCNRD,301,15,10.0115,110a,301CCNRD15,2.43,13:20,13:22,3735,13:21,10312025,26,27,,
80,CCNRD,301,15,10.0091,110b,301CCNRD15,2.43,13:22,13:24,3803,13:23,10312025,26,27,,
81,CCNRD,301,15,9.9756,110c,301CCNRD15,2.43,13:24,13:26,4104,13:25,10312025,26,27,,
82,CCNRD,302,15,9.9779,111a,302CCNRD15,2.43,13:26,13:28,2847,13:27,10312025,26,27,,
83,CCNRD,302,15,10.0016,111b,302CCNRD15,2.43,13:28,13:30,2881,13:29,10312025,26,27,,
84,CCNRD,302,15,10.0288,111c,302CCNRD15,2.43,13:30,13:32,2915,13:31,10312025,26,27,,
85,CCNRD,303,15,9.9801,112a,303CCNRD15,2.43,13:32,13:34,2881,13:33,10312025,26,27,,
86,CCNRD,303,15,9.9927,112b,303CCNRD15,2.43,13:34,13:36,1726,13:35,10312025,26,27,,
87,CCNRD,303,15,10.0032,112c,303CCNRD15,2.43,13:36,13:38,2881,13:37,10312025,26,27,,
88,CCNRD,304,15,10.01,113a,304CCNRD15,2.43,13:38,13:40,3425,13:39,10312025,26,27,,
89,CCNRD,304,15,10.0101,113b,304CCNRD15,2.43,13:40,13:42,3527,13:41,10312025,26,27,Late pause,
90,CCNRD,304,15,10.0374,113c,304CCNRD15,2.43,13:42,13:44,3391,13:43,10312025,26,27,,
91,blank,blank,blank,,blank,blank,blank,13:44,13:46,707,13:45,10312025,26,27,,
92,blank,blank,blank,,blank,blank,blank,13:46,13:48,673,13:47,10312025,26,27,,
93,blank,blank,blank,,blank,blank,blank,13:48,13:50,,13:49,10312025,26,27,,
